auc,f1,accuracy,model,split,seed,dataset
0.7215079821462801,0.38961038961038963,0.805181347150259,XGBoost,temporal,123,promise_camel
0.7306196774281881,0.39228295819935693,0.8041450777202073,LightGBM,temporal,123,promise_camel
0.6856978559106218,0.28391167192429023,0.7647668393782383,SimpleMLP,temporal,123,promise_camel
0.7134505325994688,0.3735632183908046,0.7740932642487046,ResNet,temporal,123,promise_camel
0.6415427585640352,0.26153846153846155,0.8010362694300518,FTTransformer,temporal,123,promise_camel
0.6848214285714286,0.4041095890410959,0.6876122082585279,LogReg,random,456,promise_camel
0.7559991974317817,0.35978835978835977,0.7827648114901257,RandomForest,random,456,promise_camel
0.753741974317817,0.42391304347826086,0.8096947935368043,XGBoost,random,456,promise_camel
0.7552668539325842,0.4245810055865922,0.8150807899461401,LightGBM,random,456,promise_camel
0.7494682985553771,0.3018867924528302,0.800718132854578,SimpleMLP,random,456,promise_camel
0.7629113162118779,0.36585365853658536,0.8132854578096947,ResNet,random,456,promise_camel
0.6452347512038523,0.28378378378378377,0.8096947935368043,FTTransformer,random,456,promise_camel
0.6326090528218187,0.36182902584493043,0.6673575129533679,LogReg,temporal,456,promise_camel
0.7123894411128454,0.35526315789473684,0.7968911917098446,RandomForest,temporal,456,promise_camel
0.7322215832854131,0.4,0.8072538860103627,XGBoost,temporal,456,promise_camel
0.7259371833839919,0.39344262295081966,0.8082901554404145,LightGBM,temporal,456,promise_camel
0.7046537418877844,0.35294117647058826,0.783419689119171,SimpleMLP,temporal,456,promise_camel
0.7128138777074947,0.33015873015873015,0.7813471502590673,ResNet,temporal,456,promise_camel
0.6314042005531368,0.26277372262773724,0.7906735751295336,FTTransformer,temporal,456,promise_camel
0.7913105413105412,0.4444444444444444,0.7163120567375887,LogReg,random,42,promise_ivy
0.8110754985754985,0.25806451612903225,0.8368794326241135,RandomForest,random,42,promise_ivy
0.7467948717948718,0.2857142857142857,0.8226950354609929,XGBoost,random,42,promise_ivy
0.7891737891737892,0.23529411764705882,0.8156028368794326,LightGBM,random,42,promise_ivy
0.7254273504273504,0.35,0.8156028368794326,SimpleMLP,random,42,promise_ivy
0.7973646723646722,0.35,0.8156028368794326,ResNet,random,42,promise_ivy
0.7425213675213674,0.14285714285714285,0.8297872340425532,FTTransformer,random,42,promise_ivy
0.6827724358974359,0.294478527607362,0.6732954545454546,LogReg,temporal,42,promise_ivy
0.7721554487179487,0.3548387096774194,0.8863636363636364,RandomForest,temporal,42,promise_ivy
0.7338942307692308,0.35294117647058826,0.84375,XGBoost,temporal,42,promise_ivy
0.7357371794871795,0.28205128205128205,0.8409090909090909,LightGBM,temporal,42,promise_ivy
0.6850961538461537,0.3225806451612903,0.8210227272727273,SimpleMLP,temporal,42,promise_ivy
0.6494391025641025,0.21428571428571427,0.8125,ResNet,temporal,42,promise_ivy
0.8064102564102564,0.20408163265306123,0.8892045454545454,FTTransformer,temporal,42,promise_ivy
0.7012108262108262,0.4,0.6595744680851063,LogReg,random,123,promise_ivy
0.758368945868946,0.06666666666666667,0.8014184397163121,RandomForest,random,123,promise_ivy
0.7279202279202278,0.3157894736842105,0.8156028368794326,XGBoost,random,123,promise_ivy
0.7653133903133903,0.17647058823529413,0.8014184397163121,LightGBM,random,123,promise_ivy
0.74002849002849,0.3,0.8014184397163121,SimpleMLP,random,123,promise_ivy
0.6680911680911681,0.24390243902439024,0.7801418439716312,ResNet,random,123,promise_ivy
0.7546296296296297,0.30303030303030304,0.8368794326241135,FTTransformer,random,123,promise_ivy
0.6827724358974359,0.294478527607362,0.6732954545454546,LogReg,temporal,123,promise_ivy
0.7912660256410258,0.23333333333333334,0.8693181818181818,RandomForest,temporal,123,promise_ivy
0.7310897435897437,0.3023255813953488,0.8295454545454546,XGBoost,temporal,123,promise_ivy
0.7264423076923077,0.275,0.8352272727272727,LightGBM,temporal,123,promise_ivy
0.7185096153846153,0.36,0.8181818181818182,SimpleMLP,temporal,123,promise_ivy
