auc,f1,accuracy,model,dataset,protocol,fold_id,seed
0.6389563106796117,0.6451612903225806,0.5991902834008097,FTTransformer,promise_lucene,walkforward,1,42
0.7086764229980942,0.6444444444444445,0.6235294117647059,LogReg,promise_lucene,walkforward,2,42
0.6382726259393765,0.6527415143603134,0.6088235294117647,XGBoost,promise_lucene,walkforward,2,42
0.7459638272625939,0.7579462102689487,0.7088235294117647,FTTransformer,promise_lucene,walkforward,2,42
0.4926822128988194,0.1727272727272727,0.4203821656050955,LogReg,promise_poi,walkforward,1,42
0.4994145770319056,0.2145922746781116,0.4171974522292994,XGBoost,promise_poi,walkforward,1,42
0.5168796955800566,0.194331983805668,0.3662420382165605,FTTransformer,promise_poi,walkforward,1,42
0.6929303037438191,0.6113744075829384,0.574025974025974,LogReg,promise_poi,walkforward,2,42
0.6067812573581353,0.2297297297297297,0.4077922077922078,XGBoost,promise_poi,walkforward,2,42
0.733046856604662,0.2105263157894736,0.4155844155844156,FTTransformer,promise_poi,walkforward,2,42
0.6812515196392653,0.7477313974591652,0.6855203619909502,LogReg,promise_poi,walkforward,3,42
0.6897172918370506,0.6004228329809725,0.5723981900452488,XGBoost,promise_poi,walkforward,3,42
0.6770738931500186,0.7855917667238422,0.7171945701357466,FTTransformer,promise_poi,walkforward,3,42
0.4008215962441314,0.7393939393939394,0.5981308411214953,LogReg,promise_velocity,walkforward,1,42
0.5161384976525821,0.7894736842105263,0.6635514018691588,XGBoost,promise_velocity,walkforward,1,42
0.3904538341158059,0.7355623100303952,0.5934579439252337,FTTransformer,promise_velocity,walkforward,1,42
0.7253353710307353,0.5990338164251208,0.6375545851528385,LogReg,promise_velocity,walkforward,2,42
0.6405162166751571,0.5833333333333334,0.5633187772925764,XGBoost,promise_velocity,walkforward,2,42
0.6947699100016981,0.5082508250825083,0.3493449781659388,FTTransformer,promise_velocity,walkforward,2,42
0.6141608322659285,0.0,0.6727289772194619,RandomForest,jit_apachejit_total,walkforward,1,42
0.7608501501472014,0.0,0.6727289772194619,LightGBM,jit_apachejit_total,walkforward,1,42
0.678966305736969,0.11827526364971298,0.6904002999906252,SimpleMLP,jit_apachejit_total,walkforward,1,42
0.570297727880931,0.054016620498614956,0.6798537545701697,ResNet,jit_apachejit_total,walkforward,1,42
0.8070668824386099,0.6071516242533345,0.7749601574950783,RandomForest,jit_apachejit_total,walkforward,2,42
0.8140682777357392,0.6155482939433088,0.7628667854129558,LightGBM,jit_apachejit_total,walkforward,2,42
0.7835817785879584,0.5917998191136569,0.746132933345833,SimpleMLP,jit_apachejit_total,walkforward,2,42
0.7850056983054898,0.5960079840319361,0.7153838942533046,ResNet,jit_apachejit_total,walkforward,2,42
0.7987387805438869,0.4549075391180654,0.820414284375293,RandomForest,jit_apachejit_total,walkforward,3,42
0.8129696054522036,0.47035903145004176,0.8216327678320368,LightGBM,jit_apachejit_total,walkforward,3,42
0.8115324066130571,0.45837739839854963,0.8319898772143594,SimpleMLP,jit_apachejit_total,walkforward,3,42
0.8056389971650425,0.4169111302847282,0.8416440153716375,ResNet,jit_apachejit_total,walkforward,3,42
0.7602994516271202,0.6409969137107344,0.6982328953330312,RandomForest,env_city_hour,walkforward,1,42
0.7669340164917036,0.6516280853798866,0.7014401592082233,LightGBM,env_city_hour,walkforward,1,42
0.7248408965999701,0.5881922420102464,0.6700693870661087,SimpleMLP,env_city_hour,walkforward,1,42
0.7339057786770598,0.6255406735674015,0.6654228524214398,ResNet,env_city_hour,walkforward,1,42
0.8076415961226353,0.5854049719326383,0.7703385840063257,RandomForest,env_city_hour,walkforward,2,42
0.8034173181767675,0.5703799037132371,0.7597750473093633,LightGBM,env_city_hour,walkforward,2,42
0.7731181417623552,0.5436170872341745,0.7384080954538589,SimpleMLP,env_city_hour,walkforward,2,42
0.7751392285594698,0.5459728939041136,0.7297547020620664,ResNet,env_city_hour,walkforward,2,42
0.8167211124200701,0.5907940080174414,0.7932284401958084,RandomForest,env_city_hour,walkforward,3,42
0.7904293008133966,0.5593431789061973,0.7677840066098668,LightGBM,env_city_hour,walkforward,3,42
0.7807091316201025,0.5614023665749768,0.7605966648602066,SimpleMLP,env_city_hour,walkforward,3,42
0.7735371211651292,0.5669871078321782,0.7418864773141197,ResNet,env_city_hour,walkforward,3,42
0.615036231884058,0.20689655172413793,0.7415730337078652,RandomForest,promise_ant,walkforward,1,42
0.5553442028985507,0.21875,0.7191011235955056,LightGBM,promise_ant,walkforward,1,42
0.5365036231884057,0.27586206896551724,0.6460674157303371,SimpleMLP,promise_ant,walkforward,1,42
0.5468297101449275,0.1935483870967742,0.7191011235955056,ResNet,promise_ant,walkforward,1,42
0.6698994252873564,0.19672131147540983,0.8327645051194539,RandomForest,promise_ant,walkforward,2,42
0.6493055555555557,0.2716049382716049,0.7986348122866894,LightGBM,promise_ant,walkforward,2,42
0.7638888888888888,0.3392857142857143,0.7474402730375427,SimpleMLP,promise_ant,walkforward,2,42
